Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
randomize.starting.sector,ランダム,,label for button that select a random starting sector in the starmap
randomize.starting.sector.tip,ランダムなセクターで開始,,
space.object.Sector,セクター,,
space.object.Region,宙域,,
noun.map.view,マップ表示,,label for buttons that can switch the map view mode
noun.hyperjump,ハイパージャンプ,,label for hyperjump details
exit.hyperspace,ハイパースペース離脱,,
noun.hyperspace,ハイパースペース,,
enter.hyperspace,ハイパースペースに入る,,
verb.hyperjump,ハイパージャンプ,,action verb on a button that executes a hyperjump
unable.to.hyperjump,ハイパージャンプ不可,,
hyperjump.tip.expedition,進行中の<b>シャトルの探査</b>から帰還するのをお待ちください。,,
hyperjump.tip.copter,<b>輸送機</b>が作業を完了するまでお待ちください。,,
noun.custom.location,任意の座標,,
noun.current.destination,現在の移動目標,,
enter.region,宙域に進入,,
enter.sector,セクターに進入,,
obj.materials.phasium,フェージウム,,
obj.materials.phasium.desc,"紫色の光を放っている希少なサーメットクリスタルだ。物理的な強靭さとエーテル的なエネルギーをあわせ持っている。",,
market.group.name.Hyperfuel,ハイパーフューエル,,
obj.materials.fusioncell,フュージョンセル,,
obj.materials.fusioncell.desc,"フェージウムから製造される小型のパワーユニットだ。放出するエネルギーをハイパージャンプの燃料として利用する。",,
noun.hyperdrive,ハイパードライブ,,
hyperspace.missing.engine,ハイパースペース用のエンジンが無効です。,,
hyperspace.not.charged,ハイパースペース用のエンジンがチャージされていません。,,
noun.hyperjump.charge,ハイパージャンプのチャージ,,Label for hyperdrive engine readiness percentage
hyperjumps.available,ジャンプ可能数,,Label for the number of available hyperjumps
quest.step.use.hyperjump.relay,ハイパージャンプリレーを使用,,
quest.step.use.hyperjump.relay.tip,"星系マップの<b>{0}</b>をクリックし、<b>{1}</b>を選択してください。",,{0} is Hyperjump Relay name {1} is the menu option name you have to select to use it
space.object.HyperjumpRelay,ハイパージャンプリレー,,
space.object.info.HyperjumpRelay,"巨大な宇宙構造物だ。強力なエネルギー・フィールドを発生させ、エンジン出力が不足している船でも長距離のハイパージャンプをできるようにしてくれる。",,
,,,
quest.ProvideRepairStation,リペアステーションの用意,,
quest.ProvideRepairStation.desc,損傷した作業ユニットは<b>リペアステーション</b>で修理することができます。ひとつは用意しておいた方が賢明でしょう。,,
quest.StartAnExpedition,探査を開始,,
quest.StartAnExpedition.desc,近くに何らかの資源の鉱床があるようです。Use a <b>Shuttle</b> to launch an <b>Expedition</b>.,,
quest.PerformHyperjump,ハイパージャンプの実施,,
quest.PerformHyperjump.desc,このセクターにずっといるわけにはいきません。現在の宇域を探索するために、短距離の<b>ハイパージャンプ</b>を実施しましょう。,,
quest.PerformHyperjump.fusiondrive.tip,短距離<b>ハイパージャンプ</b>を実施するには、燃料として<b>フュージョンセル</b>が装填された<b>核融合エンジン</b>が必要です。,,
quest.TradeWithSpaceStation,ステーションとの取引,,
quest.TradeWithSpaceStation.desc,必要な物資や資源を手に入れるには取引は欠かせません。<b>ステーション</b>を見つけて取引を行いましょう。,,
quest.VisitAnotherRegion,新たな宙域へ,,
quest.VisitAnotherRegion.desc,さあ今こそ、新たな宙域の探索の乗り出すときです。<b>ハイパージャンプリレー</b>を発見したら、長距離<b>ハイパージャンプ</b>を行いましょう。,,
quest.step.execute.trade.tip,"<b>星間マップ</b>を開いて<b>ステーション</b>をクリックし、<b>取引</b>の項目を選択して物資をいくつか取引してみましょう。",,
obj.materials.aerolith,エアロリス,,
obj.materials.terranite,テラナイト,,
obj.materials.edenium,エデニウム,,
obj.materials.hydronium,ハイドロニウム,,
obj.materials.aerolith.desc,希少な鉱物だ。呼吸可能な空気を触媒反応によるガスの生成で生成する。,,
obj.materials.terranite.desc,希少な琥珀色の結晶だ。地質学的な力を操作して、その周囲の地形を変えることができる。,,
obj.materials.edenium.desc,"希少なキラキラした結晶だ。土壌に施すと濃縮された栄養成分を放出し、植物を劇的に加速させる。",,
obj.materials.hydronium.desc,"希少な鉱物だ。酸素を水へと反応させる触媒として作用する。大気中の酸素を利用してH₂Oの合成を促進させる。",,
scenario.NoRobots,ロボットなし,,
scenario.NoRobots.tooltip,人間のクルーだけで機能している小さな船でゲームを開始します。熟練者向けで、難易度も高めです。,,
objects.devices.storage,収納庫 ({0}),2024-09-18,
space.effect.star,警告：恒星に接近中,,
space.effect.star.desc,"<b>恒星</b>に接近中。ソーラーパネル出力が<b>{0}</b>増加しますが、船体温度が上昇中(毎時 約<b>{1}</b>)。",,{0} is percentage; {1} is degrees celsius or farenheit
obj.plants.artilleryfungus,バリスタケ,,
obj.plants.artilleryfungus.desc,"胞子を発射する生物だ。周囲にに粘着性の胞子を速射し、時間とともに広範囲を制圧する生物兵器のような働きをします。",,
space.effect.alien.lifeform,警告: 生命体を検知,,
space.effect.alien.lifeform.desc,このセクターでセンサーがエイリアンと思われる生命体の兆候を検出。警戒してください。,,
,,,
research.economy.onlineshop,オンライン取引,,
online.shop.unlocked,<b>{0}</b>が利用可能になりました。追加料金を払うことで船にアイテムを届けてもらうことができます。,,{0} is Online Shop
adj.available,有効,,
create.shop.order,注文する,,
capsule.delivery,カプセル配送,,
capsule.delivery.tip,商品の船への到着まで<b>{0}</b>。,,{0} is Storage Capsule translation
exit.hyperspace.first,ハイパージャンプ中にはできない操作です。実行するにはハイパースペースから離脱してください。,,
shop.orders.pending.delivery,配送中断中,,
shop.orders.delivered,配送済み,,plural
shop.orders.delivery.failed,配送失敗,,
shop.order.wrong.location.tip,アイテムの配送先で指定されている領域を離れました。戻らない場合、受け取りに失敗します！,,
shop.order.wrong.location,配送場所があっていない！,,
shop.order.delivered,配送済み,,singular
shop.order.lost,行方不明,,
shop.order.estimated.delivery,配送到着まで: {0},,{0} is time
noun.price,価格,,
difficult.start.region.warning,警告！ 目標宙域は危険な上、ゲーム序盤で必要となる資源が手に入らない可能性があります。ここからスタートしてもよろしいですか？,,
quest.ProvideEntertainment,娯楽の提供,,
quest.ProvideEntertainment.desc,人間のクルーたちが精神の健康を維持するには、娯楽が必要です。それらを提供してくれる施設を整備しましょう。,,
story.wreck_empty_ship.intro.6,この<b>シャトル</b>は採掘探査に使用できます。そこから資源処理の工程を確立し、船を再建するのに必要な資材を生産できます。,2024-10-04,
noun.multiple.items,{0}個のアイテム,,{0} will be a number above 1
craft.order.new,新規生産,,label for a button that creates a new order for a device to produce something
craft.order.settings,生産設定,,label for crafting order settings
explosion.at,{0}で爆発発生,,{0} is position coordinate
tut.prod.online.shop,<b>資金</b>オーバーレイの<b>オンラインショップ</b>で素材を注文することもできます。,,
space.object.info.Asteroid,生命体のいない小惑星が宇宙空間を漂っている。,,
quest.available,クエストが進行可能,,
quest.click.to.accept,クリックで、このクエストを受諾,,
noun.strength,強度,,
available.quests,進行可能なクエスト,,
research.required.generic,この機能を有効にするには<b>{0}</b>の研究が必要です。,,{0} is research node name. for example Stock Market
cryostability.unstable.warning,このコールドスリープは不安定で危険な状態にあります。入植者たちが覚醒する際、肉体や精神に深刻なダメージを負う可能性があります。<b>このコールドスリープに、ただちに電力を供給してください。</b>,,
quest.MakeStasisAreaSurvivable,コールドスリープのある区画を生存可能にする,,
quest.MakeStasisAreaSurvivable.desc,コールドスリープから目覚めた入植者たちには、生存するための酸素と温度が必要です。コールドスリープのある区画に酸素の供給と暖房をしないといけません。,,
quest.step.heat.area,{0}で区画をあたためる,,{0} is device name
quest.step.heat.area.tip,{0}の周囲の温度上昇を監視するには、温度オーバーレイを参照しましょう。必要に応じて追加のヒーターを建造してください。このステップは、区画の平均温度が {1} に達したら完了します。,,{0} is device name {1} is temperature value
quest.step.oxygenate.area,{0}で区画に酸素を供給する,,{0} is device name
quest.step.oxygenate.area.tip,{0}で周囲の酸素濃度の増加を監視するには、酸素オーバーレイを参照しましょう。必要に応じて追加の酸素ポンプを建造してください。このステップは、区画の平均酸素濃度が {1} に達したときに完了します。,,{0} is device name {1} is oxygen value
quest.step.dispose.corpses,死体の処理,,
quest.step.dispose.corpses.tip,死体を選択してUIの<b>{0}</b>アクションを使用して処理を指示してください。このステップは死体がすべて処理されると完了します。<br><br>複数の死体を選択する最速の方法は、右上にあるグループ表示を使用することです。,,{0} will be button name saying Dispose
quest.DisposeOfDeadBodies,死体を片づける,,
quest.DisposeOfDeadBodies.desc,"生存している入植者の食料となる<b>タンパク質</b>を用意するため、死体を加工処理しましょう。そして、亡くなった入植者たちの中には<b>エイリアン寄生体</b>に感染している者がいるかもしれません。これらの死体は最優先で処理するべきです。感染しているかどうかはUIの<b>健康状態</b>を確認することで判別できます。",,
scan.hyperspace.warning,ハイパースペース内のため、スキャン不能。,,
space.object.info.Region,多数のセクター同士が接続された集合体。,,
space.object.AsteroidZone,小惑星帯,,
space.object.info.AsteroidZone,"この宙域には岩石や残骸が漂流しており、採掘可能な資源がそこら中にあるようだ。",,
space.object.info.Sector,まだ探検していないセクター,,
quest.BuildRadar,レーダーの建造,,
quest.BuildRadar.desc,<b>レーダー</b>は隣接している宇宙セクターをスキャンして特定の資源鉱床を探知できます。１つは用意しておくことを強くお勧めします。,,
space.object.info.SpaceEvent,このセクターには何か興味深いものがあるようだ。到達したら何が待ちかまえているのか調べてみよう。,,
objects.devices.tradeportal,取引ポータル,,
objects.devices.tradeportal.desc,船やステーションとの取引のために設計された物質転送装置。,,
trade.portal.not.available,取引ポータルは無効化されています,,
trade.portal.required,取引ポータルが必要です,,
no.trade.portal,取引ポータルなし,,
trade.portal.ready,取引ポータル使用可能,,
space.object.TradeZone,交易特区,,
space.object.info.TradeZone,物資の取引が活発なステーションの集まりのようだ。,,
noun.hyperjump.short,短距離ハイパージャンプ,,
noun.hyperjump.long,長距離ハイパージャンプ,,
goal.EnsureShipCPUVentilation.desc,"<b>船のコンピュータ</b>は熱を放出します。床の一部を通気性のある<b>骨組み</b>に交換するか、追加で<b>ヒートシンク</b>を建造しましょう。",2024-10-16,
quest.EstablishProduction,生産ラインの確立,,
quest.EstablishProduction.desc,"資材はそのうち尽きてしまいます。そのため、生産方法を確立しなければなりません。",,
quest.EstablishSmelting,製錬の開始,,
quest.EstablishSmelting.desc,探査中に採掘した鉱石は金属板やインゴットに精錬する必要があります。この工程の設定をしていきましょう。,,
placement.tip.ports,作業場所と、入力/出力場所はふさがないようにしておきましょう。,,
goal.GetMoreResource.desc,<b>{0}</b>が不足中。<b>コーデックス</b>を使用して必要な素材を確認して増産しましょう。いくつかの素材は採掘探査で入手するか、<b>オンラインショップ</b>や<b>ステーション</b>で購入できます。,2024-10-17,
click.to.enlarge,クリックして拡大,,
evt.cooking.incident,調理中の事故,,
evt.cooking.incident.desc,{2}で{1}を調理していた{0}が事故を起こしてしまった。,,{0} is being name; {1} is meal name; {2} is cooking station
fight.ongoing,戦闘開始！,,
fight.lost,{0}との戦闘に敗北した,,{0} is the opponent name
fight.between,{0}が{1}に対して戦闘を開始,,{0} and {1} are names
fight.with,{0}と戦闘,,{0} is the opponent name
evt.device.malfunction,故障発生: {0},,{0} is the device name
evt.device.malfunction.desc,{0}に致命的な故障が発生。アップグレードにヒューズをインストールしていれば激しい被害を軽減できたかもしれません。,,{0} is the device name
evt.blown.fuse,{0}のヒューズが飛んだ,,
evt.blown.fuse.desc,インストールされていたヒューズのおかげで、機器の致命的な故障は避けられました。可能であればヒューズを交換してください。,,
obj.upgrades.fuseupgrade,ヒューズ,,
obj.upgrades.fuseupgrade.desc,消耗品のヒューズだ。機器の故障による被害発生を防ぐ。,,
blown.fuse,ヒューズが飛んだ,,
verb.hacked,ハッキングされた,,
evt.hacked,{0}がハッキングされている！,,{0} will be a robot or device name
cond.Hacked.desc,"このロボットは現在ハッキングを受けています。完了すると敵対する可能性があります。",,
cond.Hacked,ハッキングされている,,as in 'hacking in progress' or 'currently being hacked'
noun.cause,原因,,as in 'cause of death'
disease.immunity,{0}に対する免疫,,{0} is the disease name
alien.bacteria.detected,未知の宇宙バクテリアを検出,,
noun.developing.conditions,進行中,,"Conditions that have not yet developed, but are in progress"
status.strong,強力な,,Example: strong immunity
status.full,完全な,,Example: full immunity
status.permanent,永久的な,,Example: permanent immunity
status.innate,生まれつきの,,Example: innate immunity
active.conditions,状態異常を付与,,
telescope.found.planet,"テレスコープが{0}宙域{1}セクター内に居住可能な惑星を発見。可能であれば、本船の進路をこの惑星にセットしましょう。<br><br>我々の入植者たちが安全に暮らしていける惑星にするには、テラフォーミングの必要があるかもしれません。テラフォーミング関連の研究を集中的に行うことを推奨します。",2024-10-29,
must.open.first,開封する必要があります,,For requiring to open a storage capsule before performing another action
cond.Preoccupied,執着,,
cond.Preoccupied.desc,この生命体は何か重要なことに執着しているようです。しばらくの間、あなたの指示に従いません。,,
space.object.Space,なにもない宇宙空間,,
region.no.hyperjump.relay,"この宙域には<b>{0}</b>が存在しません。到達するには、長距離ハイパージャンプを可能にするエンジン(<b>{1}</b>)が必要です。",,
space.object.info.Space,このセクターにはなにも存在しないようだ,,
stat.ImmunityGainRate,免疫獲得速度,,
stat.ImmunityLossRate,免疫喪失速度,,
enter.hyperspace.first,まずハイパースペースに突入してください！,,warning for trying to move in hyperspace while not in it
hyperdrive.not.running,ハイパードライブ停止中,,
hyperdrives.running,ハイパードライブ作動中,,label next to number of hyperdrives that are currently running (working)
hyperdrives.charge.hyperspace.tip,ハイパードライブの再チャージはハイパースペース外でのみ実施可能です。,,
hyperdrives.not.running.tip,"ハイパースペースに突入したら、ジャンプをするには少なくとも1基のハイパードライブを作動させる必要があります。",,
region.name,{0} 宙域,,{0} is some name
sector.name,{0} セクター,,{0} is some name
sleep.deprivation,睡眠不足,,
developing.condition,{0}を発症中({1}),,"{0} is the condition name, {1} is percentage. example: Developing depression (23%)"
cond.Depression.desc,娯楽の欲求が満たされない期間が長い場合、うつ病を発症します。娯楽施設を建造し、装飾を追加することで防ぎましょう。,,
effect.magnetic.storm,磁気嵐,,
effect.magnetic.storm.desc,このセクターでは磁気嵐が常に発生しているようです。一部の電子機器が頻繁に不具合を起こす可能性があります。,,
effect.dust.storm.desc,このセクターではダストストームが常に発生しているようです。ソーラーパネルの出力が低下中。,,
obj.materials.fusioncellheavy,ヘヴィフュージョンセル,,
obj.materials.fusioncellheavy.desc,"ハイパワータイプのフュージョンセルだ。長距離ハイパージャンプに適した",,
preparing.for.hyperjump,ハイパージャンプ準備中,,
entered.hyperspace,ハイパースペースに突入,,
left.hyperspace,ハイパースペース離脱,,as in exited hyperspace
enter.hyperspace.failed,ハイパースペース突入に失敗,,
tut.spacetravel.name,宇宙航行,,
tut.spacetravel.desc,星間マップを使って船を航行させる方法を学んでいきましょう。,,
tut.spacetravel.intro,このチュートリアルでは、宇宙航行の基本を説明し、星間マップについて解説します。,,
tut.spacetravel.step1.title,エンジンの種類,,
tut.spacetravel.step1_1,船の航行には<b>ブリッジ制御端末</b>が必要です。そして、各種の宇宙航行モードでは、それぞれ異なる種類の<b>エンジン</b>が必要です。,,
tut.spacetravel.step1_2,小型の<b>スラスター</b>は、<b>セクター</b>内で船を移動させます。,,
tut.spacetravel.step1_3,"<b>核融合エンジン</b>は<b>ハイパースペース</b>への突入を可能にし、隣接するセクターへの<b>短距離ハイパージャンプ</b>を可能にします。燃料として<b>フュージョンセル</b>を消費します。",,
tut.spacetravel.step1_4,"<b>FTLドライブ</b>は<b>宙域</b>を越える<b>長距離ハイパージャンプ</b>を可能にします。<b>FTLドライブ</b>が利用可能になるまでは<b>ハイパージャンプリレー</b>を探して使用しなければなりません。",,
tut.spacetravel.step2.title,星間マップ,,
tut.spacetravel.step2_1,続行するには、<b>星間マップ</b>を開いてください。,,
tut.spacetravel.step2_2_gamepad,これが<b>星間マップ</b>です。以下の方法で操作できます：<br><br> - 周辺へ移動: {0}<br> - ズームの変更: {1},,
tut.spacetravel.step2_2,これが<b>星間マップ</b>です。以下の方法で操作できます：<br><br> - 周辺へ移動: {0} または {1} を押しながらマウスをドラッグ<br> - ズームの変更: {2},,
tut.spacetravel.step2_3,現在、<b>星間マップ</b>は<b>セクター表示</b>になっています。あなたの船は<b>船のコンピュータ</b>のアイコンで表示されています。,,
tut.spacetravel.step2_4,近くの<b>ステーション</b>に向かって航行しましょう。強調表示されたオブジェクトが示している{0}を使用して、目的地に設定しましょう。,,
tut.spacetravel.step2_5,"<b>ステーション</b>に到達するまで少々時間がかかります。その間に、残りの<b>星間マップ</b>に触れてみましょう。",,
tut.spacetravel.step3.title,星間マップのメニュー,,
tut.spacetravel.step3_1,このパネルには<b>星間マップコントロール</b>が含まれています。次のステップで、これらを見ていきましょう。,,
tut.spacetravel.step3_2,<b>星間マップ</b>には3つの<b>階層</b>があります：<br> - <b>宇宙全体</b>は相互に接続された<b>宙域</b>が含まれます<br> - <b>宙域</b>はいくつかの<b>セクター</b>が含まれます<br> - <b>セクター</b>は<b>局所的な宇宙空間</b>の天体が含まれます,,
tut.spacetravel.step3_2_2,<b>マップ表示の操作</b>では、現在表示されている<b>階層</b>をいつでも変更できます。階層名の横にある矢印アイコンは、<b>現在表示されている階層</b>を示しています。<br><br>異なる階層に切り替えて、それぞれに何が含まれているかを確認してみましょう。,,
tut.spacetravel.step3_2_3,続行するには、<b>表示中の階層</b>を<b>セクター</b>に切り替えましょう。,,
tut.spacetravel.step3_3,船の<b>位置</b>はこちらに表示されています。,,
tut.spacetravel.step3_4,これらのUIブロックは、船の<b>ハイパースペース航行能力</b>を表示しています。,,
tut.spacetravel.step3_5,"少なくとも1つの<b>ハイパードライブ</b>が<b>フルチャージ</b>されている必要があります。ハイパードライブは<b>フュージョンセル</b>を装填するとチャージを開始します。1つ以上のドライブが完全に充電されると、<b>ハイパースペース</b>に突入する準備が完了します。<br><br>注意：ハイパードライブは<b>ハイパースペース</b>内で<b>再チャージ</b>できません。",,
tut.spacetravel.step3_6,"<b>ハイパースペース</b>に入ると、隣接する<b>セクター</b>へ<b>ジャンプ</b>することができます。<b>ジャンプ回数</b>はチャージされた<b>ハイパードライブ</b>の数によって決まります。",,
tut.spacetravel.step3_7,"<b>ハイパースペース</b>内での航行を維持するには、最低限1つの<b>ハイパードライブ</b>が作動している必要があります。これには<b>電力の供給</b>と<b>パイロット</b>が<b>ブリッジ制御端末</b>にいることも必要です。すべてのエンジンが停止すると、船は直ちに<b>ハイパースペース</b>から<b>離脱</b>します。",,
tut.spacetravel.step3_8,隣接する<b>セクター</b>間の<b>短距離ハイパージャンプ</b>では、<b>フュージョンセル</b>が1つ消費されます。<b>宙域</b>間の<b>長距離ハイパージャンプ</b>には、<b>FTLドライブ</b>と<b>ヘビーフュージョンセル</b>が必要です。,,
tut.spacetravel.step3_9,"<b>ハイパードライブ</b>がチャージされていれば、このボタンで<b>ハイパースペースへの突入</b>を<b>開始</b>します。<br><br>まだ<b>フュージョンセル</b>がありませんが、<b>ステーション</b>で購入することもできます。",,
tut.spacetravel.step3_10,我々の船が<b>ステーションに到達する</b>のを待ちましょう。,,
tut.spacetravel.step4.title,<b>フュージョンセルの入手</b>,,
tut.spacetravel.step4_1,"<b>ステーション</b>との<b>取引</b>の準備が整いました。<b>星間マップ</b>で強調表示された<b>ステーション</b>にカーソルを合わせて{0}で実効可能なアクションを表示し、<b>取引</b>を選択しましょう。",,
tut.spacetravel.step4_2,"現在、<b>ステーション</b>と取引中です。続行するには、<b>フュージョンセル</b>を<b>5つ</b>購入しましょう。<br><br><b>フュージョンセル</b>を探して必要な量を<b>5</b>に設定したら、<b>取引実行</b>ボタンを押して取引内容を確定してください。",,
tut.spacetravel.step4_3,"<b>フュージョンセル</b>は<b>フェイジウム</b>から生産することも可能です。奥の手として、割高ではありますが<b>オンラインショップ</b>にて購入することもできます。<br><br><b>オンラインショップ</b>で注文したアイテムは、<b>貨物カプセル</b>の投下によって、現在位置に届けられます。この機能は<b>研究</b>でアンロックできます: {0}。",,
tut.spacetravel.step4_4,"それでは、ドローンたちが<b>ハイパードライブ</b>に<b>フュージョンセル</b>を装填するのを待ちましょう。エンジンに燃料が供給され、充電が完了すれば、<b>ハイパースペース</b>に突入する準備が整います。<br><br><b>フルチャージ</b>までには<b>数時間</b>かかりますが、ゲームスピードを上げて進行を早めることができます。",,
tut.spacetravel.step4_5,<b>警告！</b> <b>ソーラーパネル</b>は<b>ハイパースペース</b>内では発電しません。常に電力を確保できるよう、十分な<b>反応炉</b>や<b>バッテリー</b>を用意しましょう。,,
tut.spacetravel.step5.title,ハイパースペースでの移動,,
tut.spacetravel.step5_1,"<b>ハイパードライブ</b>の燃料装填とチャージが完了しました。<b>ジャンプ準備完了！</b><br><br>強調表示されているボタンをクリックし、<b>ハイパースペース</b>への<b>突入を指示</b>しましょう。",2024-12-03,
tut.spacetravel.step5_2,"<b>ハイパースペース</b>への突入を指示した後、<b>パイロット</b>が<b>ブリッジ制御端末</b>に配置されエンジンが<b>作動</b>する必要があります。これには少し時間がかかります。<br><br>ゲームのポーズを解除して、船がジャンプするのを待ちましょう。",2024-12-03,
tut.spacetravel.step5_2_2,"あなたは今<b>ハイパースペース内</b>を航行中です！あらゆる<b>危険な宇宙環境</b>や<b>接近中の飛来物</b>、<b>難破船</b>は<b>ハイパースペース</b>に突入すると同時に<b>消滅</b>されます。",,
tut.spacetravel.step5_3,<b>星間マップ</b>の<b>マップ表示</b>を<b>宙域</b>の階層に切り替えました。あなたの船の<b>ハイパースペース</b>内の位置は、<b>拡大縮小する円</b>として表示されています。,,
tut.spacetravel.step5_4,隣接した<b>セクター</b>上の{0}を使用し、2つ先の<b>ハイパージャンプリレー</b>を目指して<b>ジャンプ</b>しましょう。,,
tut.spacetravel.step5_5,"2つの<b>ハイパードライブ</b>があるので、<b>ハイパースペース</b>を出る前に<b>もう1回ジャンプ</b>できます。最後のジャンプで強調表示されている<b>ハイパージャンプリレー</b>へ向かいましょう。",,
tut.spacetravel.step5_6,"<b>ハイパードライブ</b>を使い切りましたが、<b>ハイパースペース</b>を離脱すると、再び<b>チャージ</b>されます。",,
tut.spacetravel.step6.title,長距離ハイパージャンプ,,
tut.spacetravel.step6_1,すでに<b>ハイパースペース</b>を離脱しています。<b>マップ表示</b>は今いる<b>セクター</b>の階層に切り替わりました。これより<b>スラスター</b>を使用し、このセクターの中央にある<b>ハイパージャンプリレー</b>に辿り着くことができます。<br><br>{0}で、強調表示されている<b>ハイパージャンプリレー</b>を<b>目標地点</b>として設定しましょう。,,
